objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"1 A.M. Jailbreak","428224","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","122965327","5.62267","6.50579","1","8102","646","thing","1 A.M. Jailbreak","2","5","20","20","20","2024","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10","23346","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","121981006","5.47519","4.19318","1.7143","28064","101","thing","10","2","7","0","0","0","2006","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in Africa","7865","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","122806630","5.98428","6.56636","1.379","3188","2344","thing","10 Days in Africa","2","4","30","30","20","2003","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in Asia","22398","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","122806633","5.89873","6.67873","1.4286","3772","1465","thing","10 Days in Asia","2","4","25","25","25","2007","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in Europe","5867","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","62881499","6.02599","6.60859","1.3478","2950","2846","thing","10 Days in Europe","2","4","30","30","20","2002","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in the Americas","64956","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","122806640","5.73679","6.66336","1.375","5473","869","thing","10 Days in the Americas","2","4","30","30","20","2010","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in the National Parks","442527","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","135778022","0","6.53667","0","0","68","thing","10 Days in the National Parks","2","4","30","30","30","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in the USA","7866","6","4","0","0","0","0","0","0","0","0","0","1","","","","","","59911426","5.99903","6.49299","1.3846","3107","3558","thing","10 Days in the USA","2","4","30","30","30","2003","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Essentials","288573","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","78579568","0","3.875","1","0","26","thing","10 Essentials","2","4","30","30","30","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Nights","293653","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","103874686","5.49954","5.74964","1","24808","127","thing","10 Nights","3","8","10","10","10","2020","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"1000?","415783","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","121041208","0","6.9","1","0","64","thing","1000?","2","5","12","12","5","2024","3,4,5","3,4","10","","","","","","","standalone","","","","","","","","","","","","","","",""
"1001 Islands","351972","6","4","0","0","0","0","0","0","1","0","0","2","","","","","","97927168","5.59103","6.83454","1.25","9557","496","thing","1001 Islands","2","5","30","30","30","2022","2,3,4,5","2","6–8","No necessary in-game text","","","","","","standalone","","24","USD","","","2022-11-26","Night Owl","1","","","2022-11-26","","","",""
"101: le match","340816","0","2","0","0","0","0","0","1","0","0","0","1","","","","","","111388701","5.52407","5.73328","1.0909","17574","300","thing","101: le match","1","3","30","0","30","2021","1,2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"11 nimmt!","63706","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","58440225","5.85913","6.33018","1.2016","4086","3332","thing","11 nimmt!","2","7","30","30","30","2010","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
